SA1 (UR),"Oceania and Antarctica, nfd",New Zealand,Melanesia,Micronesia,Polynesia (excludes Hawaii),Antarctica,"North-West Europe, nfd","United Kingdom, Channel Islands and Isle of Man",Ireland,Western Europe,Northern Europe,"Southern and Eastern Europe, nfd",Southern Europe,South Eastern Europe,Eastern Europe,"North Africa and the Middle East, nfd",North Africa,Middle East,"South-East Asia, nfd",Mainland South-East Asia,Maritime South-East Asia,"North-East Asia, nfd",Chinese Asia (includes Mongolia),Japan and the Koreas,"Southern and Central Asia, nfd",Southern Asia,Central Asia,"Americas, nfd",Northern America,South America,Central America,Caribbean,"Sub-Saharan Africa, nfd",Central and West Africa,Southern and East Africa,Supplementary codes,Not stated,Total
20604150606,0,5,0,0,0,0,0,19,0,4,0,0,5,0,0,0,0,0,0,13,12,0,28,4,0,0,0,0,7,3,0,0,0,0,5,0,23,138
20604150607,0,5,0,0,0,0,0,3,0,0,0,0,0,6,0,0,15,12,0,40,7,0,36,0,0,0,0,0,0,0,0,0,0,0,68,0,141,359
20604150608,0,12,0,0,0,0,0,7,5,4,0,0,4,3,0,0,3,13,0,16,20,0,28,10,0,30,0,0,0,39,0,0,0,0,9,0,14,217
20604150609,0,5,0,0,0,0,0,12,5,9,0,0,10,0,6,0,0,3,0,3,12,0,9,3,0,3,0,0,4,4,0,0,0,0,0,0,29,126
20604150610,0,9,0,0,5,0,0,17,0,10,0,0,5,0,0,0,0,5,0,4,9,0,18,14,0,9,0,0,5,9,0,0,0,0,5,0,4,128
20604150611,0,11,0,0,0,0,0,8,5,8,0,0,0,0,3,0,0,5,0,4,17,0,30,11,0,4,0,0,3,3,5,0,0,0,5,0,4,129
20604150612,0,0,0,0,0,0,0,11,5,3,3,0,4,0,3,0,0,7,0,16,8,0,15,9,0,10,0,0,4,12,0,0,0,0,5,0,30,155
20604150613,0,20,0,0,0,0,0,18,0,9,0,0,14,8,0,0,0,3,0,12,25,0,25,3,0,10,0,0,16,13,0,0,0,0,6,0,24,214
20604150614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,15,0,0,6,0,0,0,0,0,0,0,0,0,0,0,42
20604150615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,4,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,127,0,103,287
20604150616,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,8,0,14,0,0,10,0,0,7,0,0,0,0,0,3,0,9,63
20604150617,0,4,0,0,0,0,0,5,0,4,0,0,0,6,0,0,0,6,0,11,24,0,60,14,0,27,0,0,11,3,0,0,0,0,4,0,17,213
20604150618,0,9,0,0,0,0,0,18,0,3,0,0,0,7,0,0,8,16,0,14,16,0,3,3,0,10,0,0,9,0,0,0,0,0,32,3,24,199
